NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E2934500001201,かしの木台集会所,奈良県安堵町大字かしの木台1-4-1,,,,1,,,1,,,34.601137972763,135.75983602649,
2,E2934500002201,岡崎公民館,奈良県安堵町大字岡崎194-3,,,,,,,1,,,34.604086114209,135.76353848238,
3,E2934500004201,笠目公民館,奈良県安堵町大字笠目534,,,,,,,1,,,34.600710494662,135.74336889725,
4,E2934500005201,上窪田公民館,奈良県安堵町大字窪田137,,,,1,,,1,,,34.597268600553,135.76481410888,
5,E2934500006201,北窪田自治会館,奈良県安堵町大字窪田20-1,,,,1,,,1,,,34.601018871913,135.76673807221,
6,E2934500007201,窪田中央公民館,奈良県安堵町大字窪田316,,,,,,,1,,,34.595225677088,135.76162285525,
7,E2934500008201,中窪田自治会館,奈良県安堵町大字窪田394-6,,,,1,,,,,,34.593500065934,135.75999319789,
8,E2934500010201,安堵中央公園,奈良県安堵町大字窪田628-1,,,,1,,1,,,1,34.598226343597,135.7571056939,
9,E2934500011201,東窪田自治会館,奈良県安堵町大字窪田93-11,,,,1,,,1,,,34.597848948081,135.76616201272,
10,E2934500012201,下窪田自治会館,奈良県安堵町大字窪田984-5,,,,1,,,,,,34.591731852042,135.7558214219,
11,E2934500013201,若草の里集会所,奈良県安堵町大字西安堵17-64,,,,1,,,1,,,34.60250052752,135.75416215933,
12,E2934500014201,西安堵公民館,奈良県安堵町大字西安堵742,,,,1,,,1,,,34.60428197412,135.75138916221,
13,E2934500016201,あつみ台公民館,奈良県安堵町大字東安堵1-34,1,,,1,,,1,,,34.618758174032,135.75955553465,
14,E2934500015201,東安堵南公民館,奈良県安堵町大字東安堵1331,1,,,1,,,1,,,34.604577315962,135.75834865267,
15,E2934500020201,柿の里団地集会所,奈良県安堵町大字東安堵1787-14,,,,,,,1,,,34.600934760427,135.75430757515,
16,E2934500022201,小泉苑公民館,奈良県安堵町大字東安堵34-6,1,,,1,,,1,,,34.61595315462,135.76055295762,
17,E2921200040201,室生山上公園芸術の森,奈良県宇陀市室生181,1,1,,1,,,,,,34.537975,136.032549,
18,E2921200001201,室生地域文化伝習展示施設（あさぎりホール）,奈良県宇陀市室生892,1,,,1,,,,,1,34.5339477780712,136.037844107575,
19,E2921200002201,文化芸術活動体験交流施設（ふるさと元気村）,奈良県宇陀市室生下田口1112,1,,,1,,,,,1,34.5209249943272,136.046237834624,
20,E2921200003201,向渕生活改善センター（やまびこホール）,奈良県宇陀市室生向渕3649,1,1,,1,,,,,1,34.5773325901886,135.995265222222,
21,E2921200004201,旧室生東小学校,奈良県宇陀市室生三本松2138,1,1,,1,,,,,1,34.5727892892106,136.027295112959,
22,E2921200005201,音楽の森ふれあい館,奈良県宇陀市室生上笠間444-1,1,,,1,,,,,1,34.6113210524173,136.02935238888,
23,E2921200006201,蕨集会所・室生東児童館,奈良県宇陀市室生西谷152,1,1,,,,,,,1,34.5726842512642,136.05017761948,
24,E2921200009201,室生小学校,奈良県宇陀市室生大野1912,,1,,1,,,,,1,34.56383,136.013237,
25,E2921200011201,室生福祉保健交流センター（ぬく森の郷）,奈良県宇陀市室生大野3776-1,1,1,,1,,,,,1,34.5561059522331,136.001784513739,
26,E2921200012201,室生人権交流センター・室生北児童館,奈良県宇陀市室生無山727-2,1,1,,,,,,,1,34.5874790656619,135.973399834637,
27,E2921200025201,たかぎふるさと館,奈良県宇陀市榛原髙井612,1,1,,1,,,,,1,34.5073782308544,135.993114828861,
28,E2921200013201,榛原西小学校,奈良県宇陀市榛原下井足1061,1,1,,1,,,,,1,34.5211268532215,135.94667626643,
29,E2921200017201,伊那佐地区体育館　（旧伊那佐小学校）,奈良県宇陀市榛原石田109,1,1,,1,,,,,1,34.495566,135.954782,
30,E2921200019201,榛原東小学校,奈良県宇陀市榛原赤瀬190,1,1,,1,,,,,1,34.545954023502,135.964610341404,
31,E2921200020201,榛原体育センター,奈良県宇陀市榛原長峯615-1,1,1,,1,,,,,1,34.5427104729862,135.972964065126,
32,E2921200021201,大和富士ホール,奈良県宇陀市榛原天満台西2-45-4,1,1,,1,,,,,,34.5449141057797,135.968656912322,
33,E2921200022201,榛原小学校,奈良県宇陀市榛原萩原2145,1,1,,1,,,,,1,34.5324631290871,135.954086613873,
34,E2921200023201,榛原総合センター,奈良県宇陀市榛原萩原2610-1,1,1,,1,,,,,1,34.5321611704663,135.957413319748,
35,E2921200024201,榛原中学校,奈良県宇陀市榛原福地761,1,1,,1,,,,,1,34.5337789994037,135.961438215261,
36,E2921200026201,旧守道小学校,奈良県宇陀市大宇陀守道857-1,1,1,,1,,,,,1,34.4694298901309,135.953956964744,
