NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E3034100001111,移レストハウス,和歌山県かつらぎ町大字移82-1,1,,,34.294658526094,135.45545105337,
2,E3034100002111,天野地域交流センター（ゆずり葉）,和歌山県かつらぎ町大字下天野930,1,,,34.259115806504,135.51464372024,
3,E3034100003111,久木コミュニティセンター,和歌山県かつらぎ町大字花園久木284,1,,,34.150776557581,135.5723208865,
4,E3034100004111,新子ふるさと村,和歌山県かつらぎ町大字花園新子96,1,,,34.131582202019,135.54989418466,
5,E3034100005111,花園保健福祉館,和歌山県かつらぎ町大字花園中南250,1,,,34.135773559817,135.57094281349,
6,E3034100006111,旧花園中学校,和歌山県かつらぎ町大字花園北寺189,1,,,34.137700720247,135.53719865582,
7,E3034100007111,遍照寺,和歌山県かつらぎ町大字花園梁瀬1567,1,,,34.138410940045,135.51559753068,
8,E3034100008111,梁瀬小学校,和歌山県かつらぎ町大字花園梁瀬567-1,1,,,34.136342081079,135.51643516931,
9,E3034100009111,花園生活改善センター,和歌山県かつらぎ町大字花園梁瀬603,,,,34.136483202857,135.51497188762,
10,E3034100010111,はなぞの温泉「花圃の里」,和歌山県かつらぎ町大字花園梁瀬779,1,,,34.13869604003,135.51904474352,
11,E3034100011111,新規作物地域ブランド定着施設,和歌山県かつらぎ町大字笠田中256-19,1,,,34.290059160308,135.47267290675,
12,E3034100012111,笠田中学校,和歌山県かつらぎ町大字笠田東132,1,,,34.287656303461,135.48036171197,
13,E3034100013111,笠田東第１自治区コミュニティセンター,和歌山県かつらぎ町大字笠田東30-3,1,,,34.291199924012,135.48050475582,
14,E3034100014111,笠田東児童館,和歌山県かつらぎ町大字笠田東353-1,1,,,34.285113646092,135.47812287311,
15,E3034100015111,笠田ふるさと交流館,和歌山県かつらぎ町大字笠田東396-3,1,,,34.288182574885,135.47849476072,
16,E3034100016111,笠田小学校,和歌山県かつらぎ町大字笠田東558,1,,,34.288209954415,135.47488524775,
